companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
757847600,467,"Apples, Fuji","[{'categoryId': '1099', 'percentAllocation': 100.0}]",1,False,Each,2.61
740988888,446,"Apples, Gala","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Pound,1.58
1014628596,112,"Apples, Granny Smith","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Each,0.79
738579828,503,"Apples, Honeycrisp","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,"Apples, Honeycrisp (35 Pounds)",140.0
1114254989,629468909,"Apples, Pink Lady","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Pound,5.0
733759637,408,"Apples, Red ","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,5 Pounds,7.02
702961435,385,"Apricots, Dried","[{'categoryId': '1099', 'percentAllocation': 100.0}]",0,False,Pound,0.0
668386750,1694,"Apricots, Fresh","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Case,49.39
662208705,null,Apron Vinyl 26x41 Long Blac Winco,"[{'categoryId': '1166', 'percentAllocation': 100.0}]",0,False,Each,13.74
1023225664,null,Aqara Agave De Los Andes Plateado,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),19.02
932567113,null,AquaPatrol Plus Water Fi Itration System Single,"[{'categoryId': '1065', 'percentAllocation': 100.0}]",0,False,Each,261.82
669996604,607174235,Ardbeg 10yr Scotch,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),60.37
1070434120,null,"Ardbeg ""Twenty Something"" 23yr Scotch","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),450.0
669997534,null,Ardray Scotch,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,63.75
683489828,607174266,Arette Blanco Tequila,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),18.0
1042280982,null,Arette Fuerte Blanco Tequila,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),43.0
685074227,607174267,Arette Reposado Tequila,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),39.0
840364648,null,Arita Soba Choko Ichimats,"[{'categoryId': '1107', 'percentAllocation': 100.0}]",1,False,Each,5.0
671279505,null,Arnaldo Rivera Barbera D Alba,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),17.4
1120403784,null,Arnaldo Rivera Barbera d'Alba 2023,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),19.5
862263536,null,Arnaldo Rivera Rocche di Castiglione Barolo 2019,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),72.0
